Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Coyote Ugly,5.30,33808,60786269,115786269,45000000
The Pianist,8.50,134516,32519322,120000000,35000000
The Queen,7.60,34785,56441711,122840603,15000000
La marche de l'empereur,7.80,23674,77437223,129437223,3400000
Munich,7.80,79529,47379090,130279090,75000000
Seven Years in Tibet,6.70,29020,37945884,131445884,70000000
Remember the Titans,7.50,49844,115654751,136706683,30000000
The Exorcism of Emily Rose,6.80,32425,75072454,144216468,18000000
World Trade Center,6.20,34341,70278893,163278893,65000000
Alexander,5.40,59498,34297191,167297191,155000000
Walk the Line,7.90,85235,119519402,184319402,29000000
Valkyrie,7.30,54343,83077470,198686497,75000000
Patch Adams,6.30,31481,135041968,202200000,50000000
Braveheart,8.40,240642,75545647,209000000,72000000
The Aviator,7.60,85740,102608827,214608827,110000000
The Terminal,7.10,79803,77073959,218673959,75000000
Fahrenheit 9/11,7.60,74424,119114517,222414517,6000000
Erin Brockovich,7.20,54977,125548685,258400000,50000000
American Gangster,7.90,114060,130164645,265697825,100000000
The Pursuit of Happyness,7.80,77939,162586036,306086036,55000000
Schindler's List,8.90,276283,96067179,321200000,25000000
Pocahontas,6.00,26690,141579773,347100000,55000000
Pearl Harbor,5.40,96186,198539855,449239855,151500000
Office Space,7.90,80972,10827813,12827813,10000000
Jonah: A VeggieTales Movie,6.30,1704,25571351,25606175,14000000
Sling Blade,8.00,41785,24475416,34175000,4833610
Napoleon Dynamite,6.90,76557,44540956,46140956,400000
Looney Tunes: Back in Action/Adventure,6.00,8604,20950820,54540662,80000000
Twelve Monkeys,8.10,169858,57141459,168841459,29000000
The Sorcerer's Apprentice,6.40,9108,62492818,200092818,160000000
G.I. Joe: The Rise of Cobra,5.80,47052,150201498,302469019,175000000
The Singing Detective,5.60,4441,336456,524747,8000000
Strangers with Candy,5.90,4941,2072645,2077844,2000000
The Real Cancun,2.30,3211,3816594,3816594,4000000
McHale's Navy,3.90,3466,4408420,4408420,42000000
From Justin to Kelly,1.60,17596,4922166,4922166,12000000
Dudley Do-Right,3.60,4628,9818792,9818792,22000000
Barney's Great Action/Adventure,2.10,1456,11156471,11156471,15000000
The Action/Adventures of Elmo in Grouchland,5.40,1059,11634458,11634458,17000000
The Honeymooners,2.60,5012,12834849,13174426,27000000
Hey Arnold! The Movie,5.30,1629,13684949,13684949,10000000
Josie and the Pussycats,5.10,11284,14252830,14252830,22000000
Muppets From Space,6.10,5945,16304786,16304786,24000000
The Powerpuff Girls,5.90,3234,11411644,16425701,25000000
Digimon: The Movie,4.60,1727,9628751,16628751,5000000
Doug's 1st Movie,4.80,920,19421271,19421271,5000000
Reno 911!: Miami,5.80,15684,20342161,20342161,10000000
Doogal,2.50,2709,7578946,26942802,20000000
Thunderbirds,4.00,5397,6768055,28231444,55000000
A Night at the Roxbury,5.70,23259,30331165,30331165,17000000
Superstar,6.00,103,30628981,30628981,14000000
I Spy,5.30,18061,33561137,33561137,70000000
Malibu's Most Wanted,4.80,8159,34308901,34499204,15000000
The Action/Adventures of Rocky & Bullwinkle,4.10,10320,26000610,35129610,76000000
My Favorite Martian,4.50,4918,36850101,36850101,60000000
Sgt. Bilko,5.20,9693,30356589,37956589,39000000
Serenity,8.00,106648,25514517,38514517,39000000
Recess: School's Out,6.20,2176,36696761,44451470,10000000
Aeon Flux,8.10,1193,25857987,47953341,55000000
Fat Albert,4.00,4801,48114556,48563556,45000000
The Avengers,3.40,21432,23385416,48585416,60000000
Naked Gun 33 1/3: The Final Insult,6.10,24904,51041856,51041856,30000000
Rugrats Go Wild,5.00,1847,39402572,55443032,25000000
The Lizzie McGuire Movie,4.70,10199,42734455,55534455,15000000
The Flintstones in Viva Rock Vegas,3.30,5491,35231365,59431365,58000000
The Wild Thornberrys,6.70,1104,40108697,60694737,25000000
Beavis and Butt-head Do America,6.60,22918,63118386,63118386,12000000
Star Trek: Nemesis,6.40,28449,43254409,67312826,60000000
The X-Files: I Want to Believe,5.90,35433,20982478,68369434,35000000
Pokemon 3: The Movie,3.50,2577,17052128,68452128,3000000
Land of the Lost,5.30,16830,49438370,69548641,100000000
Jackass: The Movie,6.30,27454,64282312,75466905,5000000
Edge of Darkness,6.70,24174,43313890,78739628,60000000
Jackass: Number Two,7.20,24434,72778712,83578712,11000000
State of Play,7.30,34067,37017955,91445389,60000000
Speed Racer,6.30,32672,43945766,93394462,120000000
Star Trek II: The Wrath of Khan,7.80,36131,79912963,96800000,12000000
Inspector Gadget,3.90,13881,97387965,97387965,75000000
Jimmy Neutron: Boy Genius,5.90,5379,80936232,102992536,25000000
The Dukes of Hazzard,4.70,27016,80270227,110570227,53000000
Star Trek: Insurrection,6.40,26559,70187658,117800000,70000000
Star Trek: Generations,6.50,26465,75671262,120000000,38000000
Bewitched,4.80,26834,63313159,131413159,80000000
Lost In Space,4.80,31611,69117629,136117629,80000000
Star Trek: The Motion Picture,6.20,25454,82258456,139000000,35000000
The Rugrats Movie,5.40,4857,100494685,140894685,28000000
Star Trek: First Contact,7.60,45106,92027888,150000000,46000000
Miami Vice,6.00,51921,63478838,163818556,135000000
The Saint,5.90,27413,61363304,169400000,90000000
Starsky & Hutch,6.20,48935,88200225,170200225,60000000
George Of The Jungle,5.30,19685,105263257,174463257,55000000
Scooby-Doo 2: Monsters Unleashed,4.80,10749,84185387,181185387,25000000
Wayne's World,6.90,42570,121697323,183097323,20000000
S.W.A.T.,5.90,43260,116877597,198100000,70000000
Traffic,7.80,85759,124107476,208300000,48000000
Wild Wild West,4.30,54183,113805681,222105681,175000000
Charlie's Angels: Full Throttle,4.70,43942,100814328,227200000,120000000
Mr. Bean's Holiday,6.00,28950,33302167,229736344,25000000
High School Western/Musical 3: Senior Year,3.70,18587,90556401,251056401,11000000
Borat,7.70,3612,128505958,261572744,18000000
Charlie's Angels,5.50,60791,125305545,263200000,90000000
Scooby-Doo,4.70,26018,153294164,276294164,84000000
Casper,5.70,26121,100328194,282300000,55000000
Sex and the City 2,3.90,13796,95347692,288347692,95000000
The Flintstones,4.60,26521,130531208,358500000,45000000
Alvin and the Chipmunks,5.50,19200,217326974,360578644,55000000
The Fugitive,7.80,96914,183875760,368900000,44000000
Star Trek,8.20,134187,257730019,385680447,140000000
Mission: Impossible III,6.90,74174,133501348,397501348,150000000
Sex and the City,5.40,46837,152647258,416047258,57500000
Mission: Impossible,6.90,86222,180981886,456481886,80000000
The Simpsons Movie,7.60,117656,183135014,527071022,72500000
Mission: Impossible 2,6.90,86222,215409889,546209889,120000000
Transformers,7.30,197131,319246193,708272592,151000000
Transformers: Revenge of the Fallen,6.00,95786,402111870,836303693,210000000
Hedwig and the Angry Inch,7.60,14766,3067312,3643900,6000000
Rent,6.90,22605,29077547,31670620,40000000
Evita,6.10,16769,50047179,151947179,55000000
Dreamgirls,6.60,28016,103365956,154965956,75000000
The Phantom of the Opera,7.20,42832,51225796,158225796,55000000
Grease,7.00,60146,305260,206005260,6000000
Chicago,7.20,82650,170687518,307687518,30000000
The Country Bears,3.80,2021,16988996,16988996,20000000
Pirates of the Caribbean: The Curse of the Black Pearl,8.00,232719,305411224,655011224,125000000
Pirates of the Caribbean: At World's End,7.00,133241,309420425,960996492,300000000
Pirates of the Caribbean: Dead Man's Chest,7.30,150446,423315812,1065659812,225000000
In Her Line of Fire,3.50,337,884,884,1000000
The Californians,5.10,226,4134,4134,500000
Say Uncle,5.70,431,5361,5361,2000000
London,7.70,181,12667,12667,2000000
Donkey Punch,5.40,4551,19367,19367,750000
The Dead Girl,6.80,7122,19875,19875,3300000
Leaves of Grass,6.90,4541,20987,20987,9000000
The Good Night,6.00,4332,22441,22441,15000000
Arnolds Park,5.10,77,23616,23616,600000
Good Dick,6.40,3004,28835,28835,200000
The Calling,3.40,1113,32092,32092,160000
The Chumscrubber,7.00,10449,49526,49526,6800000
Fong juk,7.30,3699,51957,51957,4500000
The Mudge Boy,7.10,1576,62544,62544,800000
Cavite,6.00,487,70071,71644,7000
Nomad,5.50,1224,79123,79123,40000000
Freeze Frame,6.30,1723,0,91062,2000000
Sommersturm,7.60,5251,95204,95204,3000000
Mutual Appreciation,7.00,1102,103509,103509,30000
Winter Passing,6.40,4360,107492,113783,3500000
The Grand,6.10,3346,115879,115879,3000000
Come Early Morning,6.20,1511,119452,119452,6000000
There Goes My Baby,6.30,507,125169,125169,10500000
Police Academy 7: Mission to Moscow,2.50,13121,126247,126247,10000000
The Wendell Baker Story,5.50,3535,127188,127188,8000000
Bubble,4.60,101,145382,145382,1600000
Lonesome Jim,6.70,4585,154187,154187,500000
The Business of Fancy Dancing,7.00,355,174682,174682,200000
Cama adentro,7.20,466,200433,200433,800000
Ira and Abby,6.30,855,221096,221096,3500000
Civil Brand,4.90,340,254293,254293,500000
The Lucky Ones,7.10,4719,266967,266967,14000000
Chairman of the Board,2.10,3164,306715,306715,7000000
City of Ghosts,5.90,2880,325491,325491,17500000
Feast,6.40,12023,56131,341808,3200000
Southland Tales,5.60,20172,275380,364607,17000000
The Quiet,6.50,7689,381420,381420,900000
The Square,6.80,1303,406216,406216,1900000
Fido,6.90,11683,298110,419801,8000000
Brooklyn Rules,6.40,2797,458232,458232,8000000
Things to Do in Denver when You're Dead,6.60,12789,529766,529766,15000000
Dream With The Fishes,6.60,1188,542909,542909,1000000
Manderlay,7.40,8986,74205,543306,14200000
Poolhall Junkies,6.80,5233,563711,563711,4000000
Primer,6.90,17454,424760,565846,7000
Sherrybaby,6.70,6372,199176,622806,2000000
Orgazmo,6.00,15592,582024,627287,1000000
The Brown Bunny,4.90,7465,366301,630427,10000000
Journey from the Fall,7.20,586,635305,635305,1300000
Heroes,6.10,505,655538,655538,400000
The Princess and the Cobbler,7.30,893,669276,669276,24000000
Dayereh,7.30,1851,673780,673780,10000
The Salton Sea,7.10,16415,676698,676698,18000000
Saint Ralph,7.50,3492,795126,795126,5200000
MirrorMask,7.00,10398,864959,864959,4000000
Venom,4.60,4220,881745,881745,25000000
Pandora's Box,4.60,386,881950,881950,800000
La otra conquista,6.10,584,886410,886410,3500000
Panic,2.70,473,779137,889279,1000000
The Brothers Solomon,5.20,6044,900926,900926,10000000
September Dawn,5.50,1823,901857,901857,10100000
Delgo,4.40,1177,915840,915840,40000000
Bacheha-Ye aseman,8.00,6657,925402,925402,180000
Imagine Me & You,6.70,9534,672243,972243,7900000
Twin Falls Idaho,7.10,2810,985341,1027228,500000
Undiscovered,3.70,1981,1069318,1069318,9000000
Dinner Rush,7.20,2991,638227,1075504,2000000
Blood and Wine,6.10,4761,1083350,1083350,26000000
Slam,3.40,165,1009819,1087521,1000000
The R.M.,5.50,449,1111615,1111615,500000
L.I.E.,7.20,5122,1138836,1138836,700000
Chuck&Buck,6.50,3455,1055671,1157672,250000
Trois,3.30,360,1161843,1161843,200000
Groove,5.80,2486,1115313,1167524,500000
Casa de Areia,7.50,1519,539285,1178175,3750000
Fiza,6.50,749,623791,1179462,1000000
Slow Burn,5.90,2318,1237615,1237615,15500000
Outlander,6.40,18299,166003,1250617,50000000
The Singles Ward,5.70,736,1250798,1250798,500000
Kansas City,6.00,2397,1353824,1353824,19000000
American Desi,6.70,1047,902835,1366235,250000
The Funeral,6.40,4084,1212799,1412799,12500000
Northfork,6.30,3776,1420578,1445140,1900000
Time Changer,5.00,1029,1500711,1500711,825000
Chocolate: Deep Dark Secrets,4.60,527,49000,1549000,1000000
The Blue Butterfly,6.20,817,1610194,1610194,10400000
Walking and Talking,6.50,1756,1287480,1615787,1000000
Gun Shy,5.40,3607,1638202,1638202,10000000
Marci X,2.40,3449,1646664,1646664,20000000
Festen,8.10,26607,1647780,1647780,1300000
Tango,6.90,1490,1687311,1687311,4500000
Ararat,6.60,6763,1693000,1693000,15500000
Hard Candy,7.20,45791,1024640,1881243,950000
Cecil B. Demented,5.90,7565,1276984,1953882,10000000
Osama,7.40,4737,1127331,1971479,500000
Shortbus,6.70,14276,1985292,1985292,2000000
Limbo,6.90,3855,2016687,2016687,8300000
The Broken Hearts Club: A Comedy,6.60,3731,1744858,2022442,1000000
"Happy, Texas",7.50,198,2039192,2039192,1700000
Ravenous,6.90,15804,2062406,2062406,12000000
Zero Effect,6.80,8489,2080693,2080693,5000000
Mallrats,7.10,52807,2108367,2108367,6100000
Shadow Conspiracy,4.70,2427,2154540,2154540,45000000
DysFunkTional Family,5.90,501,2255000,2255000,3000000
Teeth,5.50,18,347578,2300349,2000000
Hav Plenty,5.60,580,2301777,2301777,650000
Two Girls and a Guy,5.60,3722,2057193,2315026,1000000
Gabriela,5.50,1399,2335352,2335352,50000
Bamboozled,6.30,5958,2185266,2373937,10000000
Buffalo '66,7.30,17762,2380606,2380606,1500000
You Kill Me,6.70,9498,2426851,2426851,4000000
The Incredibly True Action/Adventure of Two Girls in Love,5.80,1795,2210408,2477155,250000
Unforgettable,5.70,2284,2483790,2483790,18000000
Quinceanera,7.10,2577,1692693,2522787,400000
Novocaine,5.80,6233,2025238,2522928,6000000
Trust the Man,5.80,5262,1530535,2548378,9000000
But I'm a Cheerleader,6.10,10073,2205627,2595216,1200000
The Wackness,7.10,13257,2077046,2635650,6000000
God's Army,6.80,638,2637726,2652515,300000
Junebug,7.10,11457,2678010,2678010,1000000
No Man's Land,8.00,19600,1067481,2684207,1000000
Love Stinks,5.30,3228,2793776,2793776,4000000
Raising Victor Vargas,7.10,3719,2073984,2811439,800000
The White Countess,6.50,2855,1669971,2814566,16000000
eXistenZ,6.80,35788,2840417,2840417,20700000
Letters to God,4.40,839,2848587,2848587,3000000
Cradle Will Rock,6.70,6127,2899970,2899970,32000000
Waiting for Guffman,7.40,14880,2922988,2922988,4000000
Songcatcher,6.90,1997,3050934,3050934,1800000
Sunshine State,6.80,2769,3064356,3064356,5600000
Clerks,7.90,89991,3073428,3073428,27000
Jawbreaker,4.80,9329,3076820,3076820,3000000
Beautiful,4.40,2238,3134509,3134509,9000000
Tadpole,6.10,3800,2891288,3200241,150000
Romance and Cigarettes,6.20,5362,551002,3231251,11000000
Supercross,2.90,2514,3102550,3252550,30000000
Romeo Is Bleeding,6.30,6537,3275585,3275585,10000000
Pieces of April,7.20,12153,2528664,3284124,300000
Pootie Tang,4.50,6183,3293258,3293258,3500000
The Company,6.20,3649,2281585,3396508,15000000
Full Frontal,4.80,6660,2512846,3438804,2000000
Camping Sauvage,6.00,378,3479302,3479302,4600000
Cats Don't Dance,6.90,1663,3588602,3588602,32000000
The Lost City,6.60,5790,2484186,3650302,9600000
Thirteen Conversations About One Thing,7.10,6188,3287435,3705923,3000000
Better Luck Tomorrow,7.10,5959,3802390,3809226,250000
L'auberge espagnole,7.30,15696,3895664,3895664,5900000
Brick,7.50,37204,2075743,3918941,450000
8 Heads in a Duffel Bag,4.80,5127,3602884,4002884,3000000
Idle Hands,5.80,16157,4023741,4023741,15000000
King's Ransom,3.50,2251,4008527,4049527,25000000
Donnie Darko,8.30,210713,1270522,4116307,4500000
Whipped,4.20,2973,4142507,4142507,3000000
Detroit Rock City,6.40,15092,4217115,4217115,16000000
Men with Brooms,5.80,2559,4239767,4239767,7500000
Glitter,2.00,13778,4273372,4273372,8500000
Soul Survivors,3.60,5116,3100650,4288246,14000000
Four Rooms,6.40,34328,4301000,4301000,4000000
PCU,6.00,6967,4333569,4333569,9000000
Meet the Deedles,3.40,1379,4356126,4356126,24000000
On the Line,3.40,2617,4356743,4356743,10000000
Bogus,4.80,2742,4357406,4357406,32000000
Simply Irresistible,4.80,6927,4398989,4398989,6000000
Flawless,6.70,8125,4485485,4485485,27000000
Mumford,6.70,6303,4559569,4559569,28700000
Pi,7.50,53699,3221152,4678513,68000
Lovely and Amazing,6.80,3936,4210379,4695781,250000
Held Up,4.70,1840,4714090,4714090,8000000
Diary of the Dead,6.00,20792,952620,4726656,2750000
Welcome to the Dollhouse,7.30,13469,4198137,4726732,800000
Duets,5.70,5340,4734235,4734235,16000000
A Walk on the Moon,6.40,4125,4741987,4741987,14000000
Igby Goes Down,7.00,19050,4777465,4777465,9000000
Slackers,4.90,7934,4814244,4814244,11000000
"Paris, je t'aime",6.60,175,4857374,4857374,13000000
Girl 6,4.90,3348,4880941,4880941,12000000
Hamlet 2,6.40,9017,4886216,4898285,9000000
Bubble Boy,5.40,11073,5002310,5002310,13000000
Exotica,7.10,8402,5046118,5046118,1500000
High Tension,5.40,165,3681066,5208449,2850000
The In Crowd,4.20,2720,5217498,5217498,15000000
Black and White,6.60,452,5241315,5241315,10000000
Love Letters,7.30,477,5269990,5269990,550000
Before Sunrise,8.00,39705,5274005,5274005,2500000
Frozen River,7.20,10447,2503902,5281776,1000000
C'era una volta il West,8.80,74184,5321508,5321508,5000000
Equilibrium,7.70,86428,1190018,5345869,20000000
Me and You and Everyone We Know,7.40,17135,3885134,5409058,2000000
Made,6.30,9720,5308707,5476060,5000000
Say It Isn't So,4.60,7736,5516708,5516708,25000000
For Your Consideration,6.20,7780,5549923,5549923,12000000
College,4.30,6496,4694491,5629618,6000000
Underclassman,3.30,3249,5654777,5654777,25000000
The Pallbearer,4.70,4166,5656388,5656388,8000000
Kundun,7.00,10248,5686694,5686694,28000000
Happiness,6.50,64,2746453,5746453,3000000
Light It Up,5.40,2257,5871603,5871603,13000000
Harsh Times,7.00,26347,3337931,5963961,2000000
Foolish,3.80,353,6026908,6026908,1600000
Deuces Wild,5.30,4010,6044618,6044618,10000000
Celebrity,6.10,10978,5078660,6200000,12000000
Dick,6.10,10451,6276869,6276869,13000000
What Planet Are You From?,5.40,5304,6291602,6291602,50000000
Bound,7.40,23564,3802260,6300000,4500000
Thirteen,7.00,31482,4601043,6302406,2000000
Warriors of Virtue,4.00,1202,6448817,6448817,35000000
Switchback,6.10,5141,6504442,6504442,38000000
Lucky You,5.90,9870,5755286,6521829,55000000
Swingers,6.20,431,4505922,6542637,200000
Lost and Found,4.80,118,6552255,6552255,14000000
Femme Fatale,6.30,16693,6592103,6592103,35000000
American History X,8.60,224857,6719864,6719864,10000000
The Forsaken,5.10,4679,6755271,6755271,5000000
Moonlight Mile,6.70,8346,6830957,6830957,21000000
Namastey London,6.70,1511,1207007,6831069,8400000
200 Cigarettes,5.40,8645,6852450,6852450,6000000
IndigËnes,7.20,5775,320700,6877936,18900000
Moon,8.00,55251,5010163,6934829,5000000
Sexy Beast,7.10,20916,6946056,6946056,4300000
Screwed,5.10,4411,6982680,6982680,12000000
Crossover,1.70,7466,7009668,7009668,5600000
An American Carol,4.50,6000,7013191,7013191,20000000
Veer-Zaara,7.30,4155,2938532,7017859,7000000
The Action/Adventures of Pluto Nash,3.70,9207,4411102,7094995,100000000
Gigli,2.40,29031,6087542,7266209,54000000
Phat Girlz,2.20,6343,7061128,7271305,3000000
The Jerky Boys,3.90,1481,7555256,7555256,4000000
Ong-Bak 2,4.70,887,102458,7583050,15000000
The Station Agent,7.80,22274,5801558,7773824,500000
Serial Mom,6.40,10999,7881335,7881335,13000000
The Alamo,5.90,10063,7900000,7900000,12000000
Connie & Carla,6.00,4359,8047525,8047525,20000000
Woo,3.40,982,8064972,8064972,13000000
Firestorm,4.40,2118,8123860,8123860,19000000
Birthday Girl,6.00,13366,4919896,8130727,13000000
Code Name: The Cleaner,4.00,5277,8135024,8135024,20000000
A Simple Wish,4.90,1545,8165213,8165213,28000000
White Noise 2: The Light,5.90,5647,0,8243567,10000000
Shadow of the Vampire,6.80,18221,8279017,8279017,8000000
Running Scared,7.50,39447,6855137,8345277,17000000
Bon Voyage,6.50,622,2353728,8361736,20000000
Death to Smoochy,6.20,22379,8355815,8374062,50000000
Bones,3.90,3524,7316658,8378853,10000000
Play it to the Bone,5.10,6039,8427204,8427204,24000000
Les invasions barbares,7.80,14322,8460000,8460000,5000000
De battre mon coeur s'est arrÍtÈ,7.30,7295,1023424,8589831,5500000
Suspect Zero,5.80,9804,8712564,8712564,27000000
The Rocker,6.30,11859,6409528,8767338,15000000
The Inkwell,5.70,542,8864699,8864699,8000000
"Mystery, Alaska",5.50,1338,8891623,8891623,28000000
Trippin',4.60,673,9017070,9017070,3000000
Super Babies: Baby Geniuses 2,1.40,10886,9109322,9109322,20000000
Bella,7.30,6562,8093373,9220041,3300000
Stone Cold,4.60,52,9286314,9286314,25000000
Black Snake Moan,7.10,28145,9396870,9396870,15000000
Sleepover,4.60,4774,9408183,9408183,10000000
Ta Ra Rum Pum,5.10,1051,872643,9443864,7400000
Jade,4.80,5279,9812870,9812870,50000000
3 Strikes,2.90,905,9821335,9821335,4000000
Maria Full of Grace,7.60,16134,6529624,9892434,3200000
Brazil,8.00,76635,9929135,9929135,15000000
Lucky Numbers,4.90,5461,10014234,10014234,65000000
Cutthroat Island,5.30,10346,10017322,10017322,92000000
Le Violon rouge,7.70,14545,10019109,10019109,10000000
Dirty Work,4.80,207,10020081,10020081,13000000
Duplex,5.70,19238,9652000,10070651,40000000
The Wash,3.60,3095,10097096,10097096,4000000
Saved!,7.00,22784,8886160,10102511,5000000
Away We Go,7.30,14929,9451946,10108016,21000000
Alpha and Omega 3D,6.20,83,10115431,10115431,20000000
Bats,3.30,5565,10155691,10155691,6500000
Facing the Giants,6.00,4901,10178331,10178331,100000
Woman on Top,4.90,4743,5018450,10192613,8000000
I Got the Hook-Up!,3.30,985,10317779,10317779,3500000
Knock Off,4.10,5852,10319915,10319915,35000000
Town & Country,4.40,2889,6712451,10364769,105000000
The Man,5.40,9356,8330720,10393696,20000000
Head Over Heels,4.80,6574,10397365,10397365,14000000
First Daughter,4.70,6839,9055010,10419084,30000000
The Brothers McMullen,6.40,4365,10426506,10426506,25000
The Cooler,7.00,19072,8291572,10464788,4000000
Narc,7.30,19248,10465659,10465659,7500000
Bandidas,5.60,12103,0,10496317,35000000
Home Fries,4.70,4806,10513979,10513979,15000000
Lars and the Real Girl,7.50,32423,5956480,10553442,12500000
Mad City,6.10,9611,10561038,10561038,50000000
Three to Tango,5.80,11148,10570375,10570375,20000000
Drop Dead Gorgeous,6.20,16344,10571408,10571408,10000000
The Astronaut's Wife,4.90,20259,10672566,10672566,34000000
Deconstructing Harry,7.20,16820,10686841,10686841,20000000
Universal Soldier II: The Return,3.40,10233,10447421,10717421,40000000
Here on Earth,4.60,4929,10494147,10845127,15000000
Extract,6.40,12371,10823158,10849158,7500000
Antitrust,6.00,16263,10965209,10965209,30000000
The Astronaut Farmer,6.40,10506,11003643,11003643,13000000
You Can Count on Me,7.70,14261,9180275,11005992,1200000
Deep Rising,5.70,12484,11203026,11203026,45000000
Banlieue 13,7.10,21427,1200216,11208291,15000000
Chill Factor,4.90,5374,11263966,11263966,34000000
Before Sunset,8.00,45535,5792822,11293790,2000000
Beyond Borders,6.20,9575,4426297,11427090,60000000
Turbulence,4.50,5147,11532774,11532774,55000000
The Cookout,3.20,1659,11540112,11540112,16000000
Two Lovers,7.30,10325,3149034,11549034,12000000
The Order,4.90,9119,7659747,11559747,35000000
Get Over It,5.50,9350,11560259,11560259,10000000
The Muse,5.50,6507,11614954,11614954,15000000
3 Ninjas Kick Back,3.20,3107,11744960,11744960,20000000
End of the Spear,6.70,2884,11748661,11748661,10000000
Tales from the Hood,5.80,1860,11784569,11784569,6000000
Mulholland Drive,7.90,103026,7219578,11919578,15000000
Dark Blue,6.60,10881,9237470,11933396,15000000
Holy Man,4.70,9105,12069719,12069719,60000000
Confidence,6.80,17111,12212417,12212417,15000000
Abandon,4.80,5361,10719367,12219367,25000000
Chasing Liberty,5.80,7855,12189514,12291975,23000000
Undisputed,5.80,6837,12398628,12398628,20000000
Knockaround Guys,6.00,11019,11660180,12419700,15000000
Breakin' All the Rules,5.30,2643,12232382,12512317,9000000
Sorority Boys,5.10,7392,10198766,12516222,12000000
Gattaca,7.80,70906,12532777,12532777,36000000
Love Jones,6.70,1165,12554569,12554569,10000000
Extreme Ops,4.10,3195,4835968,12624471,40000000
Idlewild,5.80,3056,12669914,12669914,15000000
"Bon Cop, Bad Cop",6.90,151,12671300,12671300,8000000
The Omega Code,3.30,3814,12610552,12678312,7200000
Highlander: Endgame,4.30,8421,12801190,12801190,15000000
Slither,6.60,26101,7802450,12834936,15250000
They,4.60,6550,12840842,12840842,17000000
Highlander,7.20,40802,5900000,12900000,16000000
Living Out Loud,6.50,3040,12905901,12905901,12000000
Lone Star,7.60,14599,12961389,12961389,5000000
The Crew,6.00,1307,13019253,13019253,23000000
Crooklyn,6.50,3137,13024170,13024170,14000000
The Way of the Gun,6.50,17513,6047856,13061935,9000000
Anything Else,6.40,13010,3203044,13203044,18000000
FearDotCom,3.10,11438,13208023,13208023,40000000
American Outlaws,5.60,7396,13264986,13264986,35000000
Rachel Getting Married,6.90,20451,12796277,13326280,12000000
Secrets & Lies,7.90,14364,13417292,13417292,4500000
Tomcats,4.90,9505,13558739,13558739,11000000
Osmosis Jones,6.00,10959,13596911,13596911,70000000
The Ladies Man,4.70,6556,13592872,13719474,11000000
Highlander III: The Sorcerer,3.80,7763,13738574,13738574,26000000
Juwanna Man,4.10,3062,13571817,13771817,15600000
She's the One,6.00,8159,9482579,13795053,3500000
Monsoon Wedding,7.20,11314,13876974,13876974,1200000
Dirty Pretty Things,7.50,18554,8112414,13904766,10000000
Out Cold,5.80,7153,13906394,13906394,11000000
Stealing Harvard,4.70,6899,13973532,13973532,25000000
In Too Deep,5.50,2529,14026509,14026509,7000000
In the Land of Women,6.70,13550,11052958,14140402,10500000
Supernova,6.80,127,14218868,14218868,60000000
Freddy Got Fingered,4.00,25033,14249005,14249005,15000000
Sukkar banat,7.00,3799,1060591,14253760,1600000
Ballistic: Ecks vs. Sever,3.40,11112,14294842,14294842,70000000
Turistas,6.90,83,7027762,14321070,10000000
Hot Rod,6.50,22250,13938332,14334401,25000000
Les Triplettes de Belleville,7.70,19761,7301288,14440113,2000000
Mrs. Henderson Presents,7.10,8831,11036366,14466366,20000000
Welcome to Mooseport,5.20,6907,14469428,14469428,26000000
Run Lola Run,6.00,91,7267324,14533173,1750000
Soul Plane,3.70,9143,13922211,14553807,16000000
Envy,4.60,15655,13548322,14566246,20000000
I Heart Huckabees,6.80,35878,12784713,14584713,22000000
Birth,6.30,25,5005899,14603001,20000000
Raise Your Voice,5.20,8634,10411980,14811980,15000000
Hollywood Ending,6.30,10486,4839383,14839383,16000000
Eve's Bayou,7.00,4509,14843425,14843425,5000000
Flirting with Disaster,6.70,8474,14853474,14853474,7000000
Boat Trip,4.70,13258,8586376,14933713,15000000
Twilight,6.10,4840,15055091,15055091,20000000
Dead Man on Campus,5.60,7109,15064948,15064948,14000000
Transamerica,7.60,19343,9015303,15151744,1000000
Chasing Amy,7.50,63591,12006514,15155095,250000
The Corruptor,5.80,9008,15164492,15164492,10000000
Friends with Money,6.10,11087,13368437,15328368,6500000
Alex & Emma,5.40,6539,14208384,15358583,30000000
See No Evil,5.00,10035,15032800,15387513,8000000
Drowning Mona,5.30,7606,15427192,15427192,16000000
The Jacket,7.10,35932,6301131,15452978,28500000
The Fountain,7.40,72562,10144010,15461638,35000000
The Weather Man,6.90,35394,12482775,15466961,20000000
Bait,5.60,5143,15325127,15471969,35000000
My Boss's Daughter,4.30,10919,15549702,15549702,14000000
Cry Wolf,6.40,372,10047674,15585495,1000000
Ulee's Gold,7.00,4041,9054736,15600000,2700000
Larry the Cable Guy: Health Inspector,2.80,7547,15680099,15680099,17000000
The Good Girl,6.60,21460,14018296,15976468,8000000
Kung Pow: Enter the Fist,5.70,19348,16033556,16033556,10000000
Imagine That,5.40,3092,16123323,16123323,55000000
The Visitor,6.80,318,9427026,16194905,4000000
American Dreamz,5.70,15097,7314027,16510971,17000000
Mindhunters,6.20,23357,4476235,16566235,27000000
Baby's Day Out,5.00,8332,16581575,16581575,50000000
Paparazzi,5.70,9058,15712072,16612072,20000000
54,5.60,15023,16757163,16757163,13000000
