Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Extreme Measures,5.90,8038,17378193,17378193,38000000
Youth in Revolt,6.70,14670,15285588,17585588,18000000
The Postman,5.50,24045,17650704,17650704,80000000
The Rage: Carrie 2,4.30,7235,17760244,17760244,21000000
All the Pretty Horses,5.70,6511,15527125,18120267,45000000
Simon Birch,6.70,11371,18253415,18253415,20000000
The Fan,5.60,20640,18582965,18582965,55000000
Anywhere But Here,5.90,8514,18653615,18653615,23000000
The Merchant of Venice,7.10,14021,3765585,18765585,30000000
A Mighty Heart,6.70,13881,9176787,18932117,15000000
A Single Man,7.60,14548,9176000,19112672,7000000
Vanity Fair,6.20,9343,16123851,19123851,23000000
A Christmas Story,8.00,51757,19294144,19294144,3250000
Tuck Everlasting,6.50,6639,19161999,19344615,15000000
Le Scaphandre et le Papillon,8.00,31172,5990075,19689095,14000000
Amelia,5.70,3238,14246488,19722782,40000000
Multiplicity,5.70,11935,20133326,20133326,45000000
The Namesake,7.50,9700,13610521,20180109,8500000
Vampires,6.80,54,20268825,20268825,20000000
Valentine,4.30,11435,20384136,20384136,10000000
A Stir of Echoes,7.10,26752,21133087,21133087,12000000
The Last Legion,5.40,12250,5932060,21439015,67000000
White Oleander,7.00,13755,16357770,21657770,16000000
Flicka,5.70,2832,21000147,21893591,15000000
Bride & Prejudice,6.20,9442,6601079,22064531,7000000
Girl with a Pearl Earring,7.10,23493,11634362,22106210,12000000
Easy A,7.70,483,21056221,22156221,8000000
The Ruins,6.00,23752,17432844,22177122,25000000
Adaptation,7.90,67135,22498520,22498520,18500000
Drive Me Crazy,5.10,6968,17843379,22591451,8000000
The Juror,5.30,6482,22730924,22730924,44000000
Beloved,5.30,102,22852487,22852487,53000000
Ella Enchanted,6.30,12020,22913677,22913677,35000000
Aquamarine,4.60,9116,18597342,22978953,17000000
In the Cut,5.20,11590,4717455,23693646,12000000
The Road,7.50,39124,8114270,23914270,25000000
25th Hour,7.90,58781,13084595,23928503,4500000
Trainspotting,8.20,150483,16501785,24000785,3100000
The Action/Adventures of Huck Finn,5.80,3095,24103594,24103594,6500000
The Shipping News,6.70,17338,11405825,24405825,35000000
Midnight in the Garden of Good and Evil,6.50,18960,25078937,25078937,35000000
The Outsiders,7.00,23607,25697647,25697647,10000000
Appaloosa,6.80,22836,20211394,26111394,20000000
Blood Work,6.30,16751,26199517,26199517,50000000
The Box,6.80,418,15051977,26341896,25000000
Harriet the Spy,5.80,2963,26570048,26570048,13000000
Oliver Twist,7.00,10748,2070920,26670920,65000000
Timeline,5.30,19318,19480739,26703184,80000000
One True Thing,6.90,5591,23337196,26708196,30000000
Eye for an Eye,5.70,4837,26792700,26792700,20000000
The Musketeer,4.40,7812,27053815,27053815,40000000
The Island of Dr. Moreau,4.10,13770,27682712,27682712,40000000
To Die For,6.80,18459,21284514,27688744,20000000
An American Haunting,4.90,13510,16298046,27844063,14000000
The Wizard of Oz,8.30,102795,28202232,28202232,2777000
The Shawshank Redemption,9.20,519541,28241469,28241469,25000000
American Psycho,7.40,99424,15070285,28674417,8000000
Cidade de Deus,8.80,166897,7563397,28763397,3300000
The Player,7.70,24451,21706101,28876702,8000000
The Object of my Affection,5.90,8492,29145924,29145924,15000000
The Pledge,6.90,22609,19719930,29406132,45000000
Battlefield Earth: A Saga of the Year 3000,2.30,39316,21471685,29725663,80000000
The Four Feathers,6.30,13204,18306166,29882645,35000000
Queen of the Damned,4.70,20268,30307804,30307804,35000000
Hearts in Atlantis,6.80,16336,24185781,30885781,31000000
Love in the Time of Cholera,6.20,8580,4617608,31077418,45000000
The Iron Giant,7.90,38791,23159305,31333917,50000000
Nick and Norah's Infinite Playlist,6.80,24021,31487293,31487293,10000000
Pinocchio,3.50,3215,3681811,31681811,45000000
Striptease,3.90,18012,32773011,32773011,50000000
Mercury Rising,5.80,21449,32983332,32983332,60000000
Confessions of a Dangerous Mind,7.10,36258,16007718,33013805,29000000
Confessions of a Teenage Drama Queen,4.30,9976,29331068,33051296,15000000
Hart's War,6.20,19541,19076815,33076815,70000000
Blade Runner,8.30,185546,32656328,33139618,28000000
The Town,8.70,493,30980607,33180607,37000000
Wonder Boys,7.50,31572,19389454,33422485,35000000
Pay it Forward,6.80,36762,33508922,33508922,40000000
Because of Winn-Dixie,6.10,3720,32647042,33589427,15000000
Nochnoy dozor,6.50,25136,1502188,33923550,4200000
The Relic,5.40,10249,33956608,33956608,60000000
Cirque du Freak: The Vampire's Assistant,6.10,9539,14046595,34372469,40000000
The Indian in the Cupboard,5.70,4836,35627222,35627222,45000000
Alive,3.20,124,36299670,36299670,32000000
The Thin Red Line,7.50,60966,36400491,36400491,52000000
The Action/Adventures of Pinocchio,5.30,1734,15382170,36682170,25000000
Out of Sight,7.10,38263,37562568,37562568,48000000
