Title,IMDB Rating,Worldwide Gross
McHale's Navy,3.9,4408420
From Justin to Kelly,1.6,4922166
Dudley Do-Right,3.6,9818792
Barney's Great Action/Adventure,2.1,11156471
The Action/Adventures of Elmo in Grouchland,5.4,11634458
The Honeymooners,2.6,13174426
Hey Arnold! The Movie,5.3,13684949
Josie and the Pussycats,5.1,14252830
Muppets From Space,6.1,16304786
The Powerpuff Girls,5.9,16425701
Digimon: The Movie,4.6,16628751
Doug's 1st Movie,4.8,19421271
Reno 911!: Miami,5.8,20342161
Doogal,2.5,26942802
Thunderbirds,4.0,28231444
A Night at the Roxbury,5.7,30331165
Superstar,6.0,30628981
I Spy,5.3,33561137
Malibu's Most Wanted,4.8,34499204
The Action/Adventures of Rocky & Bullwinkle,4.1,35129610
My Favorite Martian,4.5,36850101
Sgt. Bilko,5.2,37956589
Serenity,8.0,38514517
Recess: School's Out,6.2,44451470
Aeon Flux,8.1,47953341
Fat Albert,4.0,48563556
The Avengers,3.4,48585416
Naked Gun 33 1/3: The Final Insult,6.1,51041856
Rugrats Go Wild,5.0,55443032
The Lizzie McGuire Movie,4.7,55534455
The Flintstones in Viva Rock Vegas,3.3,59431365
The Wild Thornberrys,6.7,60694737
Beavis and Butt-head Do America,6.6,63118386
